[2026-01-22 15:11:01] JOB STARTED | SKU: bpo_rr125 | OP: 10097430 | Qty: 10000
[2026-01-22 15:21:32] OP STARTED | SKU: bpo_rr125 | OP: 123 | Qty: 1000
[2026-01-22 15:34:33] OP STARTED | SKU: bpo_rr125 | OP: 123 | Qty: 1000
[2026-01-22 15:37:33] OP STARTED | SKU: bpo_rr125 | OP: 1144 | Qty: 1000
[2026-01-22 15:46:48] OP STARTED | SKU: bpo_rr125 | OP: 1144 | Qty: 1000
[2026-01-23 09:09:22] OP STARTED | SKU: bpo_rr125 | OP: 123455678 | Qty: 1000
[2026-01-23 09:18:27] OP STARTED | SKU: bpo_rr125 | OP: 12 | Qty: 1000
[2026-01-26 11:07:27] OP STARTED | SKU: bpAz_rr125 | OP: 12345678 | Qty: 1000
[2026-01-26 11:14:47] OP STARTED | SKU: bpo_rr125 | OP: 123 | Qty: 1000
[2026-01-26 11:23:42] OP STARTED | SKU: Bom Petisco Azeite - rr125 | OP: 123 | Qty: 1000
[2026-01-27 16:06:50] OP STARTED | SKU: Bom Petisco Azeite - rr125 | OP: 12345 | Qty: 1000
[2026-01-30 11:31:55] OP STARTED | SKU: Bom Petisco Oleo - rr125 | OP: 12345 | Qty: 1000
[2026-01-30 13:26:21] OP STARTED | SKU: Bom Petisco Oleo - rr125 | OP: 12345 | Qty: 1000
[2026-02-03 10:59:57] OP STARTED | SKU: Bom Petisco Oleo - rr125 | OP: 1234 | Qty: 1000
